poi_type,aspect,mentions,avg_sentiment,positive,negative,neutral
park,’ s,176,0.23,147,4,25
park,singapore,146,0.24,122,3,21
park,nice,114,0.44,109,0,5
park,great place,56,0.45,54,0,2
park,beautiful,51,0.5,49,0,2
park,rail corridor,46,0.19,30,0,16
park,dog run,41,0.16,23,3,15
park,gardens,41,0.29,36,0,5
park,lush greenery,35,0.29,32,0,3
park,connector,33,0.22,22,1,10
,’ s,168,0.22,126,12,30
,thank,152,0.32,136,1,15
,singapore,141,0.22,91,8,42
,nice,110,0.45,104,0,6
,highly,83,0.33,80,0,3
,overall,48,0.25,40,0,8
,will,42,0.13,24,6,12
,great place,41,0.45,39,0,2
,english,39,0.2,31,1,7
,’ m,36,0.27,28,3,5
"tourist_attraction,park",singapore,32,0.31,30,0,2
"tourist_attraction,park",’ s,30,0.31,29,0,1
"tourist_attraction,park",nature,10,0.12,7,0,3
"tourist_attraction,park",gardens,9,0.38,9,0,0
"tourist_attraction,park",great place,7,0.25,7,0,0
"tourist_attraction,park",dome,6,0.38,6,0,0
"tourist_attraction,park",overall,6,0.3,6,0,0
"tourist_attraction,park",fountain,6,0.26,6,0,0
"tourist_attraction,park",rifle,5,0.16,2,0,3
"tourist_attraction,park",lush greenery,5,0.28,4,0,1
"park,tourist_attraction",’ s,54,0.24,47,2,5
"park,tourist_attraction",singapore,29,0.27,27,0,2
"park,tourist_attraction",nice,24,0.33,23,0,1
"park,tourist_attraction",jurong,11,0.17,9,0,2
"park,tourist_attraction",great place,11,0.42,11,0,0
"park,tourist_attraction",ann siang,10,0.11,6,0,4
"park,tourist_attraction",dog run,9,0.22,5,0,4
"park,tourist_attraction",’ re,9,0.28,9,0,0
"park,tourist_attraction",pang sua pond,8,0.14,7,0,1
"park,tourist_attraction",lush greenery,8,0.3,8,0,0
"campground,park,lodging",’ s,8,0.19,7,0,1
"campground,park,lodging",singapore,7,0.19,5,0,2
"campground,park,lodging",toilet,5,0.18,3,0,2
"campground,park,lodging",east coast park,4,0.19,4,0,0
"campground,park,lodging",bbq,4,0.19,4,0,0
"campground,park,lodging",overall,4,0.14,3,0,1
"campground,park,lodging",great place,3,0.35,3,0,0
"campground,park,lodging",pasir ris,3,0.12,3,0,0
"campground,park,lodging",casper,3,0.24,2,0,1
"campground,park,lodging",west coast park,3,0.17,3,0,0
tourist_attraction,’ s,11,0.25,7,0,4
tourist_attraction,singapore,10,0.2,7,0,3
tourist_attraction,snow,5,0.15,2,0,3
tourist_attraction,bird,5,0.28,3,0,2
tourist_attraction,nice,5,0.35,4,0,1
tourist_attraction,’ re,4,0.27,2,0,2
tourist_attraction,don ’ t,4,0.1,1,0,3
tourist_attraction,highly,4,0.47,4,0,0
tourist_attraction,family picnic,3,0.29,3,0,0
tourist_attraction,skate,3,0.25,3,0,0
"restaurant,food",’ s,1513,0.19,1068,107,338
"restaurant,food",overall,824,0.2,619,33,172
"restaurant,food",ordered,613,0.08,298,122,193
"restaurant,food",will,607,0.24,473,27,107
"restaurant,food",singapore,544,0.26,452,23,69
"restaurant,food",highly,447,0.34,418,4,25
"restaurant,food",nice,312,0.34,285,1,26
"restaurant,food",thai,301,0.23,245,15,41
"restaurant,food",definitely,295,0.23,242,14,39
"restaurant,food",love,293,0.3,268,1,24
"church,tourist_attraction,place_of_worship",seamen,2,0.2,2,0,0
"church,tourist_attraction,place_of_worship",'s church,2,0.2,2,0,0
"church,tourist_attraction,place_of_worship",was,2,0.25,1,0,1
"church,tourist_attraction,place_of_worship",god,2,0.06,0,0,2
"church,tourist_attraction,place_of_worship",him,2,0.06,0,0,2
"church,tourist_attraction,place_of_worship",bell,1,0.2,1,0,0
"church,tourist_attraction,place_of_worship",prominent philanthropist,1,0.2,1,0,0
"church,tourist_attraction,place_of_worship",tan boon liat,1,0.2,1,0,0
"church,tourist_attraction,place_of_worship",recreational activities,1,0.2,1,0,0
"church,tourist_attraction,place_of_worship",church services,1,0.2,1,0,0
museum,singapore,29,0.22,26,3,0
museum,’ s,17,0.2,16,0,1
museum,’ re,6,0.23,6,0,0
museum,cathay,6,0.35,5,1,0
museum,mr ang,5,0.36,5,0,0
museum,malay,5,0.12,4,1,0
museum,canning,5,0.19,5,0,0
museum,heritage gallery,4,0.23,4,0,0
museum,great place,4,0.45,4,0,0
museum,definitely,4,0.23,4,0,0
"tourist_attraction,museum",singapore,36,0.29,35,0,1
"tourist_attraction,museum",’ s,18,0.25,17,0,1
"tourist_attraction,museum",sentosa,8,0.26,6,0,2
"tourist_attraction,museum",centre,7,0.15,6,0,1
